time,source,dest,protocol,size,description,website
23.691383457,23.205.96.43,172.28.0.2,TLSv1.2,1223,Application Data,weather.com
23.691447227,172.28.0.2,23.205.96.43,TCP,66,53816 → 443 [ACK] Seq=2352 Ack=87376 Win=177152 Len=0 TSval=199233789 TSecr=981123248,weather.com
23.691514192,34.117.228.201,172.28.0.2,TCP,66,443 → 43032 [ACK] Seq=1 Ack=674 Win=523584 Len=0 TSval=3007697268 TSecr=3952488268,weather.com
23.691533368,3.222.23.181,172.28.0.2,TLSv1.2,301,Application Data,weather.com
23.691540441,172.28.0.2,3.222.23.181,TCP,66,34060 → 443 [ACK] Seq=12088 Ack=8425 Win=64128 Len=0 TSval=679121992 TSecr=2750916369,weather.com
23.691593862,3.222.23.181,172.28.0.2,TLSv1.2,104,Application Data,weather.com
23.691601536,172.28.0.2,3.222.23.181,TCP,66,34060 → 443 [ACK] Seq=12088 Ack=8463 Win=64128 Len=0 TSval=679121992 TSecr=2750916369,weather.com
23.692294300,3.222.23.181,172.28.0.2,TLSv1.2,301,Application Data,weather.com
23.692302956,172.28.0.2,3.222.23.181,TCP,66,34060 → 443 [ACK] Seq=12088 Ack=8698 Win=64128 Len=0 TSval=679121992 TSecr=2750916370,weather.com
23.692342861,3.222.23.181,172.28.0.2,TLSv1.2,104,Application Data,weather.com
23.692346918,172.28.0.2,3.222.23.181,TCP,66,34060 → 443 [ACK] Seq=12088 Ack=8736 Win=64128 Len=0 TSval=679121992 TSecr=2750916370,weather.com
23.694638664,3.222.23.181,172.28.0.2,TLSv1.2,301,Application Data,weather.com
23.694659042,172.28.0.2,3.222.23.181,TCP,66,34060 → 443 [ACK] Seq=12088 Ack=8971 Win=64128 Len=0 TSval=679121995 TSecr=2750916372,weather.com
23.694745134,34.117.228.201,172.28.0.2,TCP,74,"443 → 43034 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=3007697271 TSecr=3952488268 WS=32",weather.com
23.694761955,172.28.0.2,34.117.228.201,TCP,66,43034 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3952488273 TSecr=3007697271,weather.com
23.694773106,34.117.228.201,172.28.0.2,TCP,74,"443 → 43036 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=3007697272 TSecr=3952488268 WS=32",weather.com
23.694778436,172.28.0.2,34.117.228.201,TCP,66,43036 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3952488273 TSecr=3007697272,weather.com
23.694942203,3.222.23.181,172.28.0.2,TLSv1.2,104,Application Data,weather.com
23.694962210,172.28.0.2,3.222.23.181,TCP,66,34060 → 443 [ACK] Seq=12088 Ack=9009 Win=64128 Len=0 TSval=679121995 TSecr=2750916373,weather.com
23.695018346,34.117.228.201,172.28.0.2,TCP,74,"443 → 43038 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=3007697272 TSecr=3952488269 WS=32",weather.com
23.695123032,172.28.0.2,34.117.228.201,TCP,66,43038 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3952488273 TSecr=3007697272,weather.com
23.695343054,34.120.4.21,172.28.0.2,QUIC,73,"Protected Payload (KP0), DCID=0f572a",weather.com
23.696675802,172.28.0.2,34.117.228.201,TLSv1,739,Client Hello,weather.com
23.697094046,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data,weather.com
23.697106129,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=52827 Win=64128 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697226414,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.697232837,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=54275 Win=63232 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697276659,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.697283251,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=55723 Win=62080 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697309290,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.697315241,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=57171 Win=60928 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697336932,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.697342833,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=58619 Win=59776 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697396874,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.697403446,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=60067 Win=58624 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697424676,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.697433603,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=61515 Win=57472 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697449082,146.75.29.44,172.28.0.2,TCP,1066,"443 → 54508 [PSH, ACK] Seq=61515 Ack=1859 Win=524288 Len=1000 TSval=3377887892 TSecr=755479620 [TCP segment of a reassembled PDU]",weather.com
23.697454161,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=62515 Win=56576 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697461124,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.697464090,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=63963 Win=55168 Len=0 TSval=755479648 TSecr=3377887892,weather.com
23.697471644,146.75.29.44,172.28.0.2,TLSv1.3,1514,"Application Data, Application Data",weather.com
23.697479038,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=65411 Win=54016 Len=0 TSval=755479649 TSecr=3377887892,weather.com
23.697948518,172.28.0.2,34.117.228.201,TLSv1,739,Client Hello,weather.com
23.697958862,34.117.228.201,172.28.0.2,TCP,66,443 → 43036 [ACK] Seq=1 Ack=674 Win=523584 Len=0 TSval=3007697275 TSecr=3952488275,weather.com
23.698735874,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.698775618,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=66859 Win=52864 Len=0 TSval=755479650 TSecr=3377887893,weather.com
23.698847363,146.75.29.44,172.28.0.2,TLSv1.3,628,Application Data,weather.com
23.698854186,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=67421 Win=52352 Len=0 TSval=755479650 TSecr=3377887893,weather.com
23.698868563,146.75.29.44,172.28.0.2,TCP,1514,[TCP segment of a reassembled PDU],weather.com
23.698873482,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=68869 Win=51072 Len=0 TSval=755479650 TSecr=3377887893,weather.com
23.698886707,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=68869 Ack=1859 Win=524288 Len=1448 TSval=3377887893 TSecr=755479648 [TCP segment of a reassembled PDU],weather.com
23.698891295,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=70317 Win=49920 Len=0 TSval=755479650 TSecr=3377887893,weather.com
23.698943954,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=70317 Ack=1859 Win=524288 Len=1448 TSval=3377887893 TSecr=755479648 [TCP segment of a reassembled PDU],weather.com
23.698976555,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=71765 Win=48768 Len=0 TSval=755479650 TSecr=3377887893,weather.com
23.699018654,146.75.29.44,172.28.0.2,TCP,1290,"443 → 54508 [PSH, ACK] Seq=71765 Ack=1859 Win=524288 Len=1224 TSval=3377887893 TSecr=755479648 [TCP segment of a reassembled PDU]",weather.com
23.699045003,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=72989 Win=47616 Len=0 TSval=755479650 TSecr=3377887893,weather.com
23.699086922,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=72989 Ack=1859 Win=524288 Len=1448 TSval=3377887893 TSecr=755479648 [TCP segment of a reassembled PDU],weather.com
23.699095237,146.75.29.44,172.28.0.2,TCP,1402,"443 → 54508 [PSH, ACK] Seq=74437 Ack=1859 Win=524288 Len=1336 TSval=3377887893 TSecr=755479648 [TCP segment of a reassembled PDU]",weather.com
23.699099045,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=75773 Win=48768 Len=0 TSval=755479650 TSecr=3377887893,weather.com
23.699107430,146.75.29.44,172.28.0.2,TCP,1458,"443 → 54508 [PSH, ACK] Seq=75773 Ack=1859 Win=524288 Len=1392 TSval=3377887893 TSecr=755479648 [TCP segment of a reassembled PDU]",weather.com
23.699112740,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=77165 Ack=1859 Win=524288 Len=1448 TSval=3377887893 TSecr=755479648 [TCP segment of a reassembled PDU],weather.com
23.699115195,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=78613 Win=49920 Len=0 TSval=755479650 TSecr=3377887893,weather.com
23.699121687,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=78613 Ack=1859 Win=524288 Len=1448 TSval=3377887894 TSecr=755479648 [TCP segment of a reassembled PDU],weather.com
23.699127047,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=80061 Ack=1859 Win=524288 Len=1448 TSval=3377887894 TSecr=755479648 [TCP segment of a reassembled PDU],weather.com
23.699130113,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=81509 Win=49920 Len=0 TSval=755479650 TSecr=3377887894,weather.com
23.699150271,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=81509 Ack=1859 Win=524288 Len=1448 TSval=3377887894 TSecr=755479648 [TCP segment of a reassembled PDU],weather.com
23.699160951,146.75.29.44,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],weather.com
23.699165309,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=84405 Win=51712 Len=0 TSval=755479650 TSecr=3377887894,weather.com
23.699221725,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=84405 Ack=1859 Win=524288 Len=1448 TSval=3377887894 TSecr=755479648 [TCP segment of a reassembled PDU],weather.com
23.699228998,146.75.29.44,172.28.0.2,TCP,1122,"443 → 54508 [PSH, ACK] Seq=85853 Ack=1859 Win=524288 Len=1056 TSval=3377887894 TSecr=755479648 [TCP segment of a reassembled PDU]",weather.com
23.699232274,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=86909 Win=62080 Len=0 TSval=755479650 TSecr=3377887894,weather.com
23.699399703,34.117.228.201,172.28.0.2,TCP,66,443 → 43034 [ACK] Seq=1 Ack=674 Win=523584 Len=0 TSval=3007697276 TSecr=3952488276,weather.com
23.699425236,172.28.0.2,34.120.4.21,QUIC,75,"Protected Payload (KP0), DCID=fb0bfe9429dc0afc",weather.com
23.700184659,141.226.224.48,172.28.0.2,TLSv1.2,599,Application Data,weather.com
23.700201782,172.28.0.2,141.226.224.48,TCP,66,40912 → 443 [ACK] Seq=8433 Ack=14907 Win=64128 Len=0 TSval=4101833212 TSecr=1039199647,weather.com
23.700234142,141.226.224.48,172.28.0.2,TLSv1.2,138,Application Data,weather.com
23.700238350,172.28.0.2,141.226.224.48,TCP,66,40912 → 443 [ACK] Seq=8433 Ack=14979 Win=64128 Len=0 TSval=4101833212 TSecr=1039199647,weather.com
23.701190405,172.28.0.2,34.117.228.201,TLSv1,739,Client Hello,weather.com
23.701640659,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=86909 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.701661187,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=88357 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.701667960,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=89805 Win=63232 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.701726329,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=89805 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.701739093,34.120.4.21,172.28.0.2,QUIC,69,"Protected Payload (KP0), DCID=0f572a",weather.com
23.701752128,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=91253 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.701760323,34.233.149.171,172.28.0.2,TLSv1.2,283,Application Data,weather.com
23.701767426,172.28.0.2,34.233.149.171,TCP,66,34264 → 443 [ACK] Seq=16988 Ack=350749 Win=224768 Len=0 TSval=2094563100 TSecr=1598032965,weather.com
23.701784669,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=92701 Win=64128 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.701808553,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=92701 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.701813352,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=94149 Win=67072 Len=0 TSval=755479653 TSecr=3377887896,weather.com
