time,source,dest,protocol,size,description,website
4.343574069,172.28.0.2,142.251.167.94,QUIC,82,"Handshake, DCID=ee6aff530b255cbf, SCID=ed5da5",facebook
4.361857234,142.251.167.94,172.28.0.2,QUIC,84,"Handshake, DCID=ed5da5, SCID=ee6aff530b255cbf",facebook
4.362222824,172.28.0.2,142.251.167.99,QUIC,82,"Handshake, DCID=e2acc364247a54a1, SCID=80420b",facebook
4.362296332,172.28.0.2,142.251.167.99,QUIC,82,"Handshake, DCID=e2acc364247a54a1, SCID=80420b",facebook
4.370568307,142.251.16.94,172.28.0.2,OCSP,787,Response,facebook
4.370605878,172.28.0.2,142.251.16.94,TCP,66,50922 → 80 [ACK] Seq=420 Ack=722 Win=64128 Len=0 TSval=3195893449 TSecr=1805945365,facebook
4.370653697,142.251.16.94,172.28.0.2,TCP,66,"80 → 50922 [FIN, ACK] Seq=722 Ack=420 Win=523776 Len=0 TSval=1805945365 TSecr=3195893394",facebook
4.370662343,142.251.16.94,172.28.0.2,OCSP,786,Response,facebook
4.370666982,172.28.0.2,142.251.16.94,TCP,66,50920 → 80 [ACK] Seq=419 Ack=721 Win=64128 Len=0 TSval=3195893449 TSecr=1805945366,facebook
4.370675769,142.251.16.94,172.28.0.2,TCP,66,"80 → 50920 [FIN, ACK] Seq=721 Ack=419 Win=524288 Len=0 TSval=1805945366 TSecr=3195893394",facebook
4.371021978,172.28.0.2,142.251.16.94,TCP,66,"50922 → 80 [FIN, ACK] Seq=420 Ack=723 Win=64128 Len=0 TSval=3195893449 TSecr=1805945365",facebook
4.371153995,172.28.0.2,142.251.16.94,TCP,66,"50920 → 80 [FIN, ACK] Seq=419 Ack=722 Win=64128 Len=0 TSval=3195893449 TSecr=1805945366",facebook
4.372271079,142.251.16.94,172.28.0.2,TCP,66,80 → 50922 [ACK] Seq=723 Ack=421 Win=523776 Len=0 TSval=1805945367 TSecr=3195893449,facebook
4.372292108,142.251.16.94,172.28.0.2,TCP,66,80 → 50920 [ACK] Seq=722 Ack=420 Win=524256 Len=0 TSval=1805945368 TSecr=3195893449,facebook
4.372381456,172.28.0.2,142.251.167.99,TLSv1.3,130,"Change Cipher Spec, Application Data",facebook
4.372721042,172.28.0.2,142.251.167.94,TLSv1.3,130,"Change Cipher Spec, Application Data",facebook
4.372986270,142.251.16.94,172.28.0.2,OCSP,786,Response,facebook
4.372993283,172.28.0.2,142.251.16.94,TCP,66,50918 → 80 [ACK] Seq=419 Ack=721 Win=64128 Len=0 TSval=3195893451 TSecr=1805945368,facebook
4.373037155,142.251.16.94,172.28.0.2,TCP,66,"80 → 50918 [FIN, ACK] Seq=721 Ack=419 Win=524288 Len=0 TSval=1805945368 TSecr=3195893394",facebook
4.373055359,172.28.0.2,142.251.167.99,TLSv1.3,236,Application Data,facebook
